`name`,`ispublic`,`description`,`officialreleaseddate`,`durationsecond`,`isplayable`,`thumbnailurl`,`refcode`,`tagsjson`,`artistrefcodes`
`Giá Như Anh Lặng Im`,`true`,,`2016-05-14`,`251`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/4c8178b170fee8d8d7f00ea0c63ffa08/4c8178b170fee8d8d7f00ea0c63ffa08.jpg`,`spt_0nP9fAgctLELtBmLkXus7s`,`["Giá Như Anh Lặng Im"]`,`["spt_75Ki5hBCOpDtKGoFyTvLxP", "spt_6TmQWGwUnVqkPptZt0apmq", "spt_5GBXwBVQufRCmwI1bNRIUo"]`
`Krazy (feat. EVY)`,`true`,,`2018-01-31`,`223`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/6c566f03ecb61e7a3e554261f0001df6/6c566f03ecb61e7a3e554261f0001df6.jpg`,`spt_0NTtPK7yNN4xT1YQTMxu9y`,`["Krazy (feat. EVY)"]`,`["spt_4grjJqg7iwQ8RKHs8d9Snh", "spt_5UNWQJdUbO8Gbg9Qn3r52M", "spt_1br1qwFrzbNkxvisBvJBbe", "spt_2nSO7JYDbJrYbJmP39qUzj"]`
`Thương Cho Ngọt Cho Bùi`,`true`,,`2021-12-22`,`193`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/3269d7e0df5398121ccb779924b380f4/3269d7e0df5398121ccb779924b380f4.jpg`,`spt_0O7Bax6ZdqQImDgOOrnG3F`,`["Thương Cho Ngọt Cho Bùi"]`,`["spt_4e5LAUvM35jleGg8gElTsP"]`
`Ngổn Ngang`,`true`,,`2022-09-15`,`194`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/39fab6da8ab7b2f6ebc58a4e818e1c53/39fab6da8ab7b2f6ebc58a4e818e1c53.jpg`,`spt_0TOsszupHDNUvzadopZv3A`,`["Ngổn Ngang"]`,`["spt_0gGd4WhPXBSgDX6fdOHcOw"]`
`|Nâng Niu| Thiên Nhiên`,`true`,,`2021-10-14`,`200`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/7f879dfbc23fc165626221940f9c4c8d/7f879dfbc23fc165626221940f9c4c8d.jpg`,`spt_0vuwYPohPFSXAvSkzWkF6K`,`["|Nâng Niu| Thiên Nhiên"]`,`["spt_1INw1in6D0tQ7va0xbtDth", "spt_5UNWQJdUbO8Gbg9Qn3r52M"]`
`M.D.B (feat. Touliver)`,`true`,,`2022-08-15`,`257`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/638ccfc055000625e71b4cc70a7110e1/638ccfc055000625e71b4cc70a7110e1.jpg`,`spt_0ymILt2M0bSmIr6wQzodN0`,`["M.D.B (feat. Touliver)"]`,`["spt_5UNWQJdUbO8Gbg9Qn3r52M", "spt_5U1dINFKjJlYNOSdMrHlRh"]`
`Vẫn Yêu`,`true`,,`2022-09-15`,`182`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/7cfbb2b99366fb69cffce60c578c18f9/7cfbb2b99366fb69cffce60c578c18f9.jpg`,`spt_0ZjMOWlFfzphBHg7dUQYZ3`,`["Vẫn Yêu"]`,`["spt_0gGd4WhPXBSgDX6fdOHcOw"]`
`VỀ QUÊ (feat. Mikelodic & Đặng Thái Bình)`,`true`,,`2023-06-11`,`177`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/68daccff1078fb112fd0ebd3d6ccd7f9/68daccff1078fb112fd0ebd3d6ccd7f9.jpg`,`spt_13ysj6RHMof1dnDtFv28x3`,`["VỀ QUÊ (feat. Mikelodic & Đặng Thái Bình)"]`,`["spt_39HlpQmjGAer2XWNh0Ro83", "spt_0l9gyu1WOgCfMDrpnwA7et", "spt_1cPpd989kghzlZqfpP4KwL"]`
`We Go Hard (feat. JustaTee, Karik, BigDaddy, Andree Right Hand, Suboi, B Ray & Thai VG)`,`true`,,`2023-05-28`,`217`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/2eabaf3e0acdccd166bc018ffd38f5c0/2eabaf3e0acdccd166bc018ffd38f5c0.jpg`,`spt_1HWa2i5mZzs2VImVqwwfuI`,`["We Go Hard (feat. JustaTee, Karik, BigDaddy, Andree Right Hand, Suboi, B Ray & Thai VG)"]`,`["spt_3Tehj7YghQc7zH0I1faGc6", "spt_4grjJqg7iwQ8RKHs8d9Snh", "spt_1cPpd989kghzlZqfpP4KwL", "spt_3rjcQ5VIWCN4q7UFetzdeO", "spt_60866JeWZ2YP0iOF1obsqE", "spt_1WvNgEoB66jmHodcj15Zi9", "spt_2Fc5cGXai8xzLhGyltp4tT", "spt_2Bwp23pD4UVsSkchHDZw4F"]`
`Anh Muốn Em Sống Sao`,`true`,,`2017-05-22`,`294`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r004/1911f6736caa15541446bab918480e35/1911f6736caa15541446bab918480e35.jpg`,`spt_4W3Qn4QcL6yCminMfxqy4K`,`["Anh Muốn Em Sống Sao"]`,`["spt_4fCHhderLwLacsIOIKgu3J"]`
