`name`,`isverified`,`ispublic`,`description`,`biography`,`nationalityisocode`,`thumbnailurl`,`backgroundurl`,`refcode`,`tagsjson`
`Đá Số Tới`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb993a22c7eddc313d0ab1768b`,,`spt_2BAhRYk5QrGfs5KNo9gHr4`,`["Đá Số Tới"]`
`DÍNH`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb71d9ebf76fdf6a679ad2375c`,,`spt_77b4s2pD9ezxA8EVti2cJw`,`["DÍNH"]`
`Jaigon Orchestra`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb21e71bf74b6c5553a7fc43a6`,,`spt_4HGrrevENLsGCTS9bwqUrm`,`["Jaigon Orchestra"]`
`Cam`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebdcb3c69c3fb0aba0ceb1da9b`,,`spt_4IiJbbRn328Zxw8mtHb7bo`,`["Cam"]`
`Mèow Lạc`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebadb54f7879966d8cae581357`,,`spt_1984OVQ0KnJW80MiZYOrFF`,`["Mèow Lạc"]`
`Chuột Sấm Sét`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebbf4e33169cb6bd8751285655`,,`spt_0Gdbr9myXctE3u0jKahkFo`,`["Chuột Sấm Sét"]`
`Cá Hồi Hoang`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb2e1835960ece8454ec87ef6a`,,`spt_2j3AXmye1FJXoGOXr6tufj`,`["Cá Hồi Hoang"]`
`Giấy Gấp`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebd026a9acc97be74aee16f289`,,`spt_39NXoiwWy5aJFeC76TzW9v`,`["Giấy Gấp"]`
`HuyR`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebfe295858003be8336111ec4c`,,`spt_3B3UoHY8tKJ6zmyYZhkDSZ`,`["HuyR"]`
`Khói`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb4d19b6fba8aee38207c35101`,,`spt_3FZ4GX2mWNn7XElse3fQWd`,`["Khói"]`
`Đạt G`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb02ab539ac376b8e099010802`,,`spt_4R3mugkUqCALXgkwSptTbg`,`["Đạt G"]`
`Lil7God`,`true`,`true`,,,,,,`spt_7D5V3aQ3ExZbZzE5dakhgM`,`["Lil7God"]`
`DatG`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab67616d0000b273aa1791472efa0debafc30182`,,`spt_3S2k1UZ8n1KpMrOaImOif3`,`["DatG"]`
`ERIK`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb63ba7b9441e542f3b2938b83`,,`spt_1L1VfizWn4DkFt602yD80U`,`["ERIK"]`
`Trịnh Thăng Bình`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eba8734b9d20f8467af95ab662`,,`spt_4co1OIKlUOsNNVJFSZzO9N`,`["Trịnh Thăng Bình"]`
`Khắc Việt`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebd9afe5d7a1e42a1ee17cd193`,,`spt_7luDDYsfkSivBsoTz3BKMq`,`["Khắc Việt"]`
`Đông Nhi`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebe90ee6acf05599eeeab1beca`,,`spt_6JTiPLdbZD2e0tDsN15U1s`,`["Đông Nhi"]`
`Charmy Pham`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb5deb7423a9f3391044b2a505`,,`spt_6jFvKq4gMkQ50joURHPGXO`,`["Charmy Pham"]`
`Bùi Anh Tuấn`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebf2db4875c81f4d103aefc81a`,,`spt_2Gvp79Cmni6PX13CAlSGex`,`["Bùi Anh Tuấn"]`
`Hồ Quang Hiếu`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebc8e6821e8e05fbd6e3a01f72`,,`spt_3x6FwiNj93pnxxMDNRA1IR`,`["Hồ Quang Hiếu"]`
`Trung Quân`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb99e937ca54656d4d09474420`,,`spt_5Cf9nBDNc99UFkq9Yqap7Q`,`["Trung Quân"]`
`Bảo Anh`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebc8a99b7d4971c74cd6dc0eaa`,,`spt_4fCHhderLwLacsIOIKgu3J`,`["Bảo Anh"]`
`Chi Dân`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb7a8dde3871698647183c29f0`,,`spt_604MsLiPn50AblFYzOg1RD`,`["Chi Dân"]`
`JayKii`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb0c1f7a270cf63a9bdbec9d10`,,`spt_4ZSYaCMxF2k6maN3KTP17F`,`["JayKii"]`
`Minh Vương M4U`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab67616d0000b2734e722171d22c52cf279a0da6`,,`spt_78TTKBLrw5XIRty0KnyftQ`,`["Minh Vương M4U"]`
`Hồ Ngọc Hà`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb9804f7d7085ca1773b86142c`,,`spt_24Wn81dwdDeTCuB1BWGoVJ`,`["Hồ Ngọc Hà"]`
`Tóc Tiên`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebe51f475c32e7e8f34faf95c5`,,`spt_4YkqEuVf1Jf2x2XDqJ2CvC`,`["Tóc Tiên"]`
`Duongg`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb752458cad38f928d3939c64d`,,`spt_3JkGKNawown8MgcJsDw1WT`,`["Duongg"]`
`D Empty`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebc170d1f88492bcc9e0e36142`,,`spt_1OXwJdOOL0Mio8zgA01OFB`,`["D Empty"]`
`Bon Nghiêm`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebd53692a1a18b4007e28c5fbe`,,`spt_6hnfLIkvDl6pjlAe1YRGXY`,`["Bon Nghiêm"]`
`BMZ`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb72ee71305a5799765ff63db4`,,`spt_3euFcFd5Dc7JAz6t7oKg7m`,`["BMZ"]`
`GoAllDay`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebfbb6c2ad028f85a7e4162caa`,,`spt_2bGV8Wgh1Kb4LPk1jyEnbg`,`["GoAllDay"]`
`NIT`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb2ffafab41d3017a9255fe8a1`,,`spt_1MTANbmLhUqJXlLuqADGE7`,`["NIT"]`
`Raw Diamonds`,`true`,`true`,,,,,,`spt_1LQXIrgXTx7DHwYauPQYqn`,`["Raw Diamonds"]`
`Đỗ Nguyên Phúc`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebfe1723ef3e57cab6437f71aa`,,`spt_2RTF7MrLWGQJQRwVzg0fDz`,`["Đỗ Nguyên Phúc"]`
`55`,`true`,`true`,,,,,,`spt_2gdmwktbABatdbuGd0JNRr`,`["55"]`
`Nguyenn`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebf834e488ce584b57fe4bc292`,,`spt_0FflNqUFk4ODtAZuVuqgou`,`["Nguyenn"]`
`Trung Trần`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eba5e4e822cd4b6096aec8e57a`,,`spt_2v14NO80QYditUms7sbEIZ`,`["Trung Trần"]`
`Sáo`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb7f1bca865e22e2cca6956722`,,`spt_0CkuQCslREF7yuvAqJXVuz`,`["Sáo"]`
`Sean`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebc989313245e768049acfe97f`,,`spt_1xNqmjTeWon7iX8kbPKpZz`,`["Sean"]`
